Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Murder and nonnegligent manslaughter
Agency,State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
El Paso Police Dept,TX,          34,          49,          44,          47,          44,          37,          30,          24,          17,          14,          20,          20,          14,          21,          11,          14,          13,          17,          17,          12,           5,          16,          23,          10,          21, 
Houston Police Dept,TX,         568,         608,         465,         446,         375,         316,         261,         254,         254,         241,         230,         267,         256,         278,         272,         334,         377,         351,         294,         287,         269,         198,         217,         214,         242, 
Laredo,TX,          14,          15,          21,          21,          24,          14,          11,          11,          11,           8,          10,           8,           7,          29,          15,          18,          22,          10,          10,          17,           9,          11,           8,           3,          14, 
Plano Police Dept,TX,           4,           3,           1,           2,           1,           4,           0,           1,           4,           0,           5,           4,           6,           5,           5,           2,           4,           2,           7,           4,           4,           5,           1,           3,           4, 
San Antonio Police Dept,TX,         208,         208,         219,         220,         194,         142,         117,          95,          89,          96,          85,         100,         100,          85,          94,          86,         119,         122,         116,          99,          79,          89,          89,          72,         103, 
Virginia Beach Police Dept,VA,          16,          27,          23,          22,          33,          16,          20,          19,          14,          12,          11,          12,           3,          24,          15,          19,          19,          16,          14,          19,          14,          15,          21,          17,          17, 
Seattle Police Dept,WA,          53,          43,          60,          67,          69,          41,          37,          49,          49,          45,          36,          25,          26,          32,          24,          25,          30,          24,          29,          22,          19,          20,          23,          18,          26, 
Milwaukee Police Dept,WI,         155,         163,         146,         157,         139,         138,         130,         122,         111,         124,         122,         127,         111,         110,          87,         121,         103,         105,          71,          72,          95,          85,          91,         104,          86, 

"Notes: When data are unavailable, the cells are blank or the year is not presented."

              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions)

              MSA and non-MSA county populations are not available.

          Crime rates are not available for agencies that report data for less than 12 months of a year.

"         Mobile Police Dept Alabama 1995 - Due to reporting changes or annexations, 1995 figures are not comparable to previous years."

"         Mobile Police Dept Alabama 1998 - The 1998 population for the city of Mobile, Alabama, includes 40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 1999 - The 1999 population for the city of Mobile, Alabama, includes  40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department"

"         Mobile Police Dept Alabama 2000 - The population for the city of Mobile, Alabama, includes 40,228 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2001 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2002 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2003 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2004 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2005 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2006 - The population for the city of Mobile, Alabama, includes 55,864 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2007 - The population for the city of Mobile, Alabama, includes 61,856 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2008 - The population for the city of Mobile, Alabama, includes 60,536 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2009 - The population for the city of Mobile, Alabama, includes 55,995 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2010 - The population for the city of Mobile, Alabama, includes 55,995 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.  Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Mobile Police Dept Alabama 2011 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2012 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department.
The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2013 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Mobile Police Dept Alabama 2014 - The population for the city of Mobile, Alabama, includes 55,819 inhabitants from the jurisdiction of the Mobile County Sheriff's Department."

"         Chandler Police Dept Arizona 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Mesa Police Dept Arizona 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Tucson Police Dept Arizona 2005 - Due to changes in reporting practices, annexations, and/or incomplete data, 2005 larceny-theft figures are not comparable to previous years' data."

"         Tucson Police Dept Arizona 2006 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2006 larceny-theft offense."

"         Tucson Police Dept Arizona 2007 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2007 larceny-theft offense."

"         Tucson Police Dept Arizona 2008 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2008 larceny-theft offense."

"         Tucson Police Dept Arizona 2009 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the offense of larceny-theft.  Consequently, this figure is not included in this Tool."

"         Tucson Police Dept Arizona 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 larceny-theft offense."

"         Tucson Police Dept Arizona 2011 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2011 larceny-theft offense."

"         Tucson Police Dept Arizona 2012 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

"         Anaheim Police Dept California 1993 - Due to reporting changes, 1993 aggravated assault figure isnot comparable to previous years."

"         Bakersfield Police Dept California 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Fresno Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Los Angeles Police Dept California 2005 - Because of changes in the agency's reporting practices, 2005 aggravated assault figures are not comparable to previous years' data."

"         Oakland Police Dept California 1991 - 1991 aggravated assault figures are not comparable to prior years due to a change in reporting procedures."

"         Riverside Police Dept California 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         San Jose Police Dept California 1997 - Due to reporting changes or annexations, 1997 figures are not comparable to previous years' data."

"         Denver Police Dept Colorado 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Atlanta Police Dept Georgia 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Chicago Police Dept Illinois 2010 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not included in this Tool."

"         Chicago Police Dept Illinois 2011 - The data collection methodology for the offense of forcible rape used by the Chicago, Illinois, does not comply with national Uniform Crime Reporting Program guidelines."

"         Chicago Police Dept Illinois 2012 - The data collection methodology for the offense of forcible rape used by Chicago, Illinois, and the Minnesota state UCR Program (with the exception of Minneapolis and St. Paul, Minnesota) does not comply with national UCR Program guidelines.  Consequently, its figures for forcible rape and violent crime (of which forcible rape is a part) are not published in this table."

"         Chicago Police Dept Illinois 2013 - The FBI determined that the agency's data were underreported.   The data collection methodology for the offense of rape used by Chicago, Illinois does not comply with national UCR Program guidelines.  "

"         Fort Wayne Police Dept Indiana 2006 - Due to an annexation, 2006 population and figures may not be comparable to previous years' data."

"         Fort Wayne Police Dept Indiana 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1994 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1994 of 771,796"

"         Indianapolis Police Dept Indiana 1996 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1996 of 777,458"

"         Indianapolis Police Dept Indiana 1997 - Indianapolis/Marion County, Indiana, reported as a unified city-county government in 1997; therefore, their Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 1998 - Indianapolis/Marion County, Indiana, is a unified city-county government with a total population in 1998 of 759,689; therefore, Crime Index figures are combined and are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Indianapolis Police Dept Indiana 2014 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Wichita Police Dept Kansas 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data"

"         Louisville Metro Kentucky 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Louisville Metro Kentucky 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation. Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2006 - Because of changes in the state/local agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Lexington-Fayette County Police Department Kentucky 2012 - Because of changes in the state/local agency's reporting practices, figures are not comparable to previous years' data."

"         Louisville Police Dept Kentucky 2002 - After 2002, crime for Louisville and Jefferson County were combined to form Louisville Metro, a consolidated county-city government."

"         New Orleans Police Dept Louisiana 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Baltimore City Police Dept Maryland 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2003 - Due to changes in reporting practices, annexations, and/or incomplete data, 2003 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Detroit Police Dept Michigan 2005 - Because of changes in the agency's reporting practices, 2005 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2006 - Because of changes in the agency's reporting practices, 2006 figures are not comparable to previous years' data."

"         Kansas City Police Dept Missouri 2010 - Because of changes in the agency's reporting practices, 2010 figures are not comparable to previous years' data."

"         Omaha Police Dept Nebraska 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, figures are not comparable to previous years' data."

"         Las Vegas Metropolitan Police Department Nevada 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1995 - Due to reporting changes, 1995 aggravated assault figure is not comparable to previous years' data."

"         Albuquerque Police Dept New Mexico 1996 - Due to reporting changes or annexations, 1996 figures are not comparable to previous years' data."

"         Buffalo Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         New York City Police Dept New York 2001 - The murder and nonnegligent homicides that occured as a result of the events of September 11, 2001, are not included."

"         New York City Police Dept New York 2014 - This agency began the year submitting rape data classified according to the legacy UCR definition.  However, at some point during the calendar year, the agency modified its reporting methods and began classifying and submitting rape offenses according to the revised UCR definition of rape.  See definition for further explanation."

"         Charlotte-Mecklenburg Police Department North Carolina 1994 - The Charlotte, NC, Police Department and Mecklenburg County, NC., Police Department merged into one department in 1994."

"         Cincinnati Police Dept Ohio 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Cincinnati Police Dept Ohio 2000 - Due to changes in reporting practices, annexations, and/or incomplete data, 2000 figures are not comparable to previous years' data."

"         Cleveland Ohio 1998 - Due to reporting changes or annexations, 1998 figures are not comparable to previous years' data."

"         Cleveland Ohio 1999 - Due to changes in reporting practices, annexations, and/or incomplete data, 1999 figures are not comparable to previous years' data"

"         Cleveland Ohio 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Columbus Police Dept Ohio 2004 - Because of changes in reporting practices, annexations, and/or incomplete data, 2004 figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2001 - Due to changes in reporting practices, annexations, and/or incomplete data, 2001 figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2002 - Due to changes in reporting practices, annexations, and/or incomplete data, 2002 figures are not comparable to previous years' data."

"         Toledo Police Dept Ohio 2009 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the offense of larceny-theft.  Consequently, this figure is not included in this Tool."

"         Toledo Police Dept Ohio 2010 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2010 larceny-theft offense."

"         Toledo Police Dept Ohio 2011 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2011 larceny-theft offense."

"         Toledo Police Dept Ohio 2012 - The FBI determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

"         Toledo Police Dept Ohio 2013 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense. "

"         Toledo Police Dept Ohio 2014 - The FBI determined that the agency did not follow national UCR Program guidelines for reporting an offense.  Consequently, this figure is not included in this table."

